pk,parameter_id,description-en,description-jp,奄美語徳之島面縄方言,沖縄語糸満方言,宮古語伊良部島長浜方言,福岡県柳川市方言,甑島里,富山県富山市,埼玉県東南部,椎葉村尾前方言,東京都世田谷区,長崎県五島列島野方方言,岩手県盛岡市,茨城県水海道方言,岐阜県大垣市赤坂方言,長崎県佐世保市宇久町方言
1,1A,Consonant Inventories,子音の数はいくつか,16,15,16,15,15,15,17,14,no data,16,no data,14,19,no data
2,2A,Vowel Quality Inventories,母音の数はいくつか,7,5,5,5,5,5,6,5,5,5,no data,5,6,no data
3,3A,Consonant-Vowel Ratio,子音は母音の何倍あるか,2.42857143,3,3.2,3,3,3,2.8333333333333335,2.8,no data,3.2,no data,2.8,3.1666…,no data
4,4A,Voicing in Plosives and Fricatives,no data,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,no data,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives,Voicing contrast in both plosives and fricatives
5,5A,Voicing and Gaps in Plosive Systems,ptkbdgのうち、存在しない音はあるか,None missing in /p t k b d g/,None missing in /p t k b d g/,None missing in /p t k b d g/,None missing in /p t k b d g/,None missing in /p t k b d g/,None missing in /p t k b d g/,None missing in /p t k b d g/,None missing in /p t k b d g/,None missing in /p t k b d g/,None missing in /p t k b d g/,no data,None missing in /p t k b d g/,None missing in /p t k b d g/,no data
6,6A,Uvular Consonants,口蓋垂音はあるか,no data,no data,no uvular,no data,no data,no data,no data,Uvular continuants only,Uvular continuants only,Uvular continuants only,no data,no data,Uvular continuants only,no data
7,7A,Glottalized Consonants,放出音、入破音、声門化鼻音があるか,Ejectives and glottalized resonants,No glottalized consonants,No glottalized consonants,No glottalized consonants,No glottalized consonants,No glottalized consonants,no data,No glottalized consonants,No glottalized consonants,No glottalized consonants,no data,No glottalized consonants,No glottalized consonants,no data
8,8A,Lateral Consonants,側面音があるか,No laterals,No laterals,No laterals,No laterals,No laterals,No laterals,No laterals,No laterals,No laterals,No laterals,no data,no data,No laterals,no data
9,9A,The Velar Nasal,軟口蓋鼻音を音素として持つか,No velar nasal,No velar nasal,No velar nasal,No velar nasal,no data,no data,no data,No velar nasal,No velar nasal,No velar nasal,No velar nasal,No velar nasal,"Velar nasal, but not initially",no data
10,10A,Vowel Nasalization,弁別的な鼻母音はあるか,contrast absent,contrast absent,Contrast absent,Contrast absent,Contrastive nasal vowels absent,Contrastive nasal vowels absent,Contrast absent,Contrast absent,Contrast absent,Contrast absent,no data,Contrast absent,Contrastive nasal vowels absent,no data
11,10B,Nasal Vowels in West Africa,西アフリカ語における鼻母音,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
12,11A,Front Rounded Vowels,前舌円唇母音の有無,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
13,12A,Syllable Structure,音節構造,(C)(G)V(V)C,(N)(C)(G)V(V)(C),no data,(C(G))V(V)(C),Moderately complex syllable structure,no data,CVVC,(C1(G))V1(V2)(C2),(C(G))V(V)(C),(C)(C)(G)V(V)(C),no data,no data,(C)(S)V(V)(M),no data
14,13A,Tone,tonal languageか。HLより複雑な声調の区別があるか。,Simple tone system,Simple tone system,Simple tone system,No tones,Simple tone system,No tones,no data,No tones,Simple tone system,no data,Simple tone system,no data,Simple tone system,no data
15,14A,Fixed Stress Locations,固定されたストレス位置があるか,no data,No fixed stress,no data,No fixed stress,No fixed stress,No fixed stress,No fixed stress,no data,no data,no data,no data,no data,no data,no data
16,15A,Weight-Sensitive Stress,no data,no data,Not predictable,no data,no,Not predictable,Not predictable,no,no data,no data,no data,no data,no data,no data,no data
17,16A,Weight Factors in Weight-Sensitive Stress Systems,no data,no data,"No weight, or weight factor unknown",no data,no,no data,"No weight, or weight factor unknown",no,no data,no data,no data,no data,no data,no data,no data
18,17A,Rhythm Types,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
19,18A,Absence of Common Consonants,no data,All present,All present,All present,All present,All present,All present,All present,All present,no data,All present,no data,All present,All present,All present
20,19A,Presence of Uncommon Consonants,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
21,20A,Fusion of Selected Inflectional Formatives,no data,Exclusively concatenative,Exclusively concatenative,no data,Exclusively concatenative,Exclusively concatenative,Exclusively concatenative,Exclusively concatenative,Exclusively concatenative,no data,Exclusively concatenative,no data,no data,Ablaut/concatinative,no data
22,21A,Exponence of Selected Inflectional Formatives,格の標示を行う形態素は、格標示以外の機能を持つか (e.g. ラテン語の第二変化男性主格単数の -usは、主格以外に「単数」も標示する),Monoexponential case,Monoexponential case,no data,Monoexponential case,Monoexponential case,Monoexponential case,Monoexponential case,Monoexponential case,Monoexponential case,Monoexponential case,no data,Monoexponential case,Monoexponential case,no data
23,21B,Exponence of Tense-Aspect-Mood Inflection,TAMの標示を行う形態素は、TAM以外の機能を持つか,monoexponential TAM,no data,no data,TAM+polarity,TAM+polarity,TAM+polarity,monoexponential TAM,TAM+polarity,no data,TAM+polarity,no data,TAM+polarity,Monoexponential TAM,TAM+polarity
24,22A,Inflectional Synthesis of the Verb,動詞にいくつくらいの文法範疇が標示されるか,4,no data,no data,3,no data,no data,no data,3,no data,3,no data,no data,3―4,no data
25,23A,Locus of Marking in the Clause,被動者はどこに標示されるか,No Marking,P is dependent-marked,no data,P is dependent-marked,P is dependent-marked,P is dependent-marked,Dependent marking,Dependent marking,no data,Dependent marking,Dependent,Dependent marking,no data,Dependent
26,24A,Locus of Marking in Possessive Noun Phrases,所有はどこに標示されるか,Dependent marking,Possessor is dependent-marked,no data,Possessor is dependent-marked,Possessor is dependent-marked,Possessor is dependent-marked,Dependent marking,Posessor is dependent marked,Dependent marking,Dependent marking,no data,Dependent marking,Dependent marking,no data
27,25A,Locus of Marking: Whole-language Typology,被動者と所有はどこに標示されるか,Dependent-marking,Dependent-marking,no data,Dependent-marking,Consistently dependent-marking,Consistently dependent-marking,Dependent-marking,Dependent marking,Dependent-marking,Dependent marking,no data,Dependent marking,no data,no data
28,25B,Zero Marking of A and P Arguments,no data,P is zero-marked,P is zero-marked,no data,no data,Non-zero marking,no data,no data,Non-zero marking,no data,Non-zero marking,no data,no data,no data," 
Non-zero marking"
29,25C-J,Differential Subject Marking,DSM現象があるか。もしあるなら、何によって標示が変わるか（e.g. 有生性、尊卑）,"Animacy, derogativity, addressability","Animacy, derogativity, addressability",no data,no data,no data,no data,no data,"Animacy, transitivity, focus",no data,Animacy,no data,no data,no data,no data
30,25D-J,Differential Object Marking,DOM現象があるか。もしあるなら、何によって標示が変わるか（e.g. 有生性、尊卑）,no data,no data,no data,no data,no data,no data,no data,"Animacy, adjacency",no data,no data,no data,Animacy,no data,no data
